key,en_US,nl_NL,es_ES
swordsman,swordsman,zwaardvechter,
Lightning Bolt,Lightning Bolt,Bliksem Schicht,
Thunder Storm,Thunder Storm,Donder,
Healing Light,Healing Light,Helend Licht,
End,End,Beurt Beeindigen,
Sharp Shot,Sharp Shot,Sherp Schot,
Flame Shower,Flame Shower,Vlammen Regen,
Heavy Blow,Heavy Blow,Zware Slag,
Sweeping Blow,Sweeping Blow,Zwaaiende Slag,
Guard,Guard,Verdedigen,
TOOLTIP Lightning Bolt,High precision electric projectile that targets one,Een nauwkeurige bliksem aanval die een enkele tegenstander raakt,
TOOLTIP Thunder Storm,Summons a mighty storm that can damage up to 4 enemies at once. May stun enemies,Ontwaak een machtige storm die tot vier tegenstanders kan raken. Kan tegenstanders verlammen.,
TOOLTIP Healing Light,Restores a little bit of health to yourself or an ally,Herstelt een beetje HP voor jezelf of een bondgenoot,
TOOLTIP End,Ends turn for this character,Beeindigt de beurt voor dit karakter,
TOOLTIP Sharp Shot,Line up an arrow and let it loose with frightening accuracy,Richt een pijl met beangstigende precisie,
TOOLTIP Flame Shower,Shoots a bundle of flaming arrows that can damage up to 5 enemies at once. May cause burn,Een regen van brandende pijlen die tot vijf tegenstanders kan raken. Kan brand-schade aanrichten.,
TOOLTIP Heavy Blow,A mighty swing of the sword that targets one,Een machtige slag tegen een enkele tegenstander,
TOOLTIP Sweeping Blow,Slash up to three enemies in front of you with this devastating attack,Een stevige zwaai om tot drie tegenstanders schade toe te dienen,
TOOLTIp Guard,Adopts a defensive stance in order to reduce incoming damage,Een verdedigende houding aannemen om inkomende schade te minimalizeren,
